country,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
India,2.5,2.5,2.5,3.5,4,2,2,2,2.5,2.5,,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.5,3.5,4,4,4,3,3,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3
Ireland,1.5,1.5,1.5,1.5,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1.5,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Iran,5.5,5.5,5.5,6,6,5.5,5,5,5,6,,6,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,6,6.5,6.5,6.5,6.5,6.5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Iraq,7,7,7,7,7,7,6.5,7,6.5,6.5,,6.5,7,7,7,7,7,6.5,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,5.5,6,6,6,5.5,5.5,5.5,6,5.5,6,5.5,5.5,5.5,5.5,5.5,5.5
Iceland,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Israel,2.5,2.5,2.5,2.5,2.5,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2,2.5,2.5,2.5
Italy,1.5,1.5,1.5,1.5,1.5,2,2,2,1.5,1.5,,1.5,1,1,1,1,1,1,1,1,1.5,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1,1,1,1,1,1,1.5,1.5,1.5,1,1.5,1,1,1,1,1,1,1,1
Jamaica,1.5,1.5,1.5,1.5,2,2.5,2.5,2.5,2.5,2.5,,2.5,2.5,2.5,2.5,2,2,2,2,2,2,2.5,2.5,2.5,2.5,2.5,2,2,2,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2,2,2
Jordan,6,6,6,6,6,6,6,6,6,6,,6,5,5,5,5,5.5,5,5,4,3,4,4,4,4,4,4.5,4,4,5,5.5,5,4.5,4.5,4.5,4.5,5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5,5,5,5,5.5
Japan,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1,1,,1,1,1,1,1,1,1,1,1.5,1.5,2,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1,1,1,1,1,1,1,1
Kazakhstan,,,,,,,,,,,,,,,,,,,,4.5,5,5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,6,6,6,6,6
Kenya,4.5,4.5,4.5,5,5,5,4.5,4.5,4.5,5,,5,5.5,5.5,5.5,6,6,6,6,6,4.5,5.5,6,6.5,6.5,6,5.5,5.5,5.5,5.5,4,3,3,3,3,3.5,3.5,4,3.5,3.5,4,4,4,4,4,4,4,4,4
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,4.5,3,4,3.5,4,4,4,5,5,5.5,5.5,5.5,5.5,5.5,4.5,4.5,4.5,4.5,5.5,5,5,5,5,5,5,5,5,4.5,4.5,6
Cambodia,5.5,5.5,6,7,7,7,7,7,7,7,,7,7,7,7,7,7,7,7,6,6,4.5,4.5,6,6,6.5,6,6,6,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,6,6
Kiribati,,,,,,,,2,2,2,,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
St. Kitts and Nevis,,,,,,,,,,,,2,1,1,1,1.5,1.5,1,1,1,1,1,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1,1,1,1,1,1,1,1,1,1,1.5,1,1,1,1,1.5
South Korea,5.5,5,5.5,5,5.5,5,4.5,4.5,5.5,5,,5.5,5,4.5,4.5,4,2.5,2.5,2.5,2.5,2.5,2,2,2,2,2,2,2,2,2,2,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2,2,2,2,2,2,2,2
Kuwait,4,3.5,3.5,3.5,5.5,5,5,5,5,4,,4,4,4,5.5,5.5,5.5,5,7,5.5,5,5,5,5,5,5,5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4,4,4,4,4.5,4.5,5,5,5,5,5,5,5,5,5
Lao,5,5,5,6,7,7,7,7,7,7,,7,7,7,7,7,6,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
Lebanon,2,2,2,4,4,4,4,4,4,4.5,,4.5,4.5,4.5,4.5,5.5,5.5,5.5,5.5,5,4.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,4.5,4.5,4.5,4.5,4,4,4.5,4.5,4.5,4.5,4.5,4.5,5,4.5,4.5,4.5
